0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-12.808592824080677,-16.509828846645647,-16.09097660639509,-14.573936336802667,-14.467728831551373,-16.151886946680776,-14.821499234468407,-15.201894915559517,-15.417072049329992,-16.53757466975265,-14.644630543631235,-14.916608710342198,-16.555760752727643,-15.418929562737725,-13.908773436333009,-16.79727538789286,-16.581072710262145,-14.840337566784338,-15.654857419593364,-16.919754595947502,-15.782267577830327
-12.513253776956768,-15.767083309988937,-15.082125087742755,-14.079270439720053,-14.04483702250205,-15.5814071826436,-14.463943856423445,-14.601644705799394,-14.681345686457277,-15.969425244756065,-14.479768473456652,-14.340403204514265,-16.130106758907363,-14.990463369548483,-13.891533021157954,-16.347135733963984,-16.126049699520706,-14.758723037859998,-15.424902891758322,-16.513599041484508,-15.49850487005809
-12.217914986787964,-15.024338279470124,-14.073275192603347,-13.584604817102832,-13.621945475579453,-15.010928010096663,-14.106388851133666,-14.001395007022376,-13.945620848589765,-15.401276124215201,-14.314906628802072,-13.764198337949185,-15.704453126490595,-14.56199742898536,-13.874292729875494,-15.896996373230115,-15.671026943847194,-14.677108610276397,-15.194948568581154,-16.107443692994472,-15.214742329996827
-11.922882878504348,-14.282247678759708,-13.067182944830758,-13.090278316235676,-13.19937373343801,-14.44105012051181,-13.749283487600822,-13.401788761755707,-13.211678957517396,-14.83350817427665,-14.150308145500611,-13.188794935711588,-15.279240623395792,-14.133840000943536,-13.857193713000504,-15.447216435253736,-15.216317140587464,-14.595610936599547,-14.9652358362298,-15.701538899550942,-14.931179568562746
-11.630775110836119,-13.547268773021425,-12.092597602595157,-12.599373839246262,-12.779962262960899,-13.877661566657883,-13.396539562368899,-12.808788711461167,-12.494563655058249,-14.269672359590642,-13.98813560297157,-12.621383929323937,-14.858389314668193,-13.708736170193506,-13.841348966595781,-15.001016263651774,-14.764696402992763,-14.515166361228664,-14.737786726489407,-15.29809832221916,-14.6495159046071
-11.34850778649484,-12.839217830952595,-11.2302391569467,-12.120899940937308,-12.371707720848379,-13.335433028523358,-13.058695651698729,-12.239209200336289,-11.833282206207917,-13.720524086131192,-13.83376780238843,-12.0815769203283,-14.452416080917468,-13.294424900499218,-13.829355742716078,-14.567587058498667,-14.323391574247108,-14.438020561948893,-14.517783001125215,-14.903302488988544,-14.374218669827378
-11.08849546820781,-12.195532504004419,-10.562192032794426,-11.673238928115437,-11.990133870523623,-12.838239448316607,-12.752859646723278,-11.72677094294377,-11.29600462864736,-13.208210630751678,-13.696305744511417,-11.606511863695612,-14.07846923956957,-12.905714424626591,-13.825336198841283,-14.164878670868994,-13.90532576519448,-14.367854783656364,-14.314390445962955,-14.528943060373573,-14.113422705170619
-10.869591262125448,-11.657500838894574,-10.155571042782581,-11.286716087288127,-11.658677532155131,-12.418141590627064,-12.497181731157758,-11.31904106152844,-10.944559628974364,-12.768193028240216,-13.588451943894855,-11.247078110400212,-13.759157100696322,-12.566213225927578,-13.834542398389546,-13.819936088841368,-13.528461529492018,-14.30989885363485,-14.141182891240035,-14.194034594079037,-13.879226666793913
-10.715597496545042,-11.257519094168025,-10.036435001975496,-11.000799253645175,-11.406223320071993,-12.108022578294216,-12.306512542012513,-11.04920113964374,-10.792448348270316,-12.431792865586155,-13.522398887329585,-11.044181034041284,-13.515616122279532,-12.302965839463424,-13.860513029902162,-13.566733778525652,-13.215966265284592,-14.270926960048941,-14.014527177029493,-13.926572448006906,-13.686948455839806
-10.64660460229342,-11.006701514325723,-10.167229655124343,-10.840818259983882,-11.26042326805195,-11.921795465771275,-12.190997895912727,-10.910998727612819,-10.793252517909771,-12.200686452814217,-13.503984567697817,-11.004042310414883,-13.35459480404527,-12.133048535207434,-13.90435135786356,-13.423521905238937,-12.993813141936855,-14.258276118523415,-13.94913710224418,-13.752169790709496,-13.548636209811832
-10.670972269448972,-10.87480210300401,-10.41291416629748,-10.804323543186783,-11.239394379138856,-11.837964865435936,-12.151257832470595,-10.874069345986593,-10.878315596572714,-12.064509991335278,-13.532493114941966,-11.100662276313752,-13.264195884591063,-12.056394340930396,-13.967036577154257,-13.38720464904484,-12.878157798886326,-14.27705563255716,-13.950900027275035,-13.676745215077029,-13.472461095842343
-10.781716791084769,-10.831300277266847,-10.63755956167569,-10.875020424524541,-11.333723423571392,-11.819662526806225,-12.179086759712924,-10.908453958349263,-10.996977107132988,-12.021354203919714,-13.603156747784938,-11.285756094183691,-13.220426725320655,-12.057390993102858,-14.048774630705344,-13.440344412159678,-12.861490499208495,-14.328487563647563,-14.01456925858982,-13.694126257163788,-13.463597802139533
-10.961367542342927,-10.885540047578699,-10.823855122688991,-11.034888646478374,-11.524229674076128,-11.84279041663614,-12.266250358603447,-10.992350996809677,-11.150011910934452,-12.065990236210395,-13.708759874972976,-11.522905303507722,-13.202032845097035,-12.117163326838462,-14.149235018926655,-13.56617143418407,-12.92712846258709,-14.411645564715016,-14.130009057554561,-13.79323270032944,-13.519374914401599
-11.19200501534041,-11.029035029050998,-11.008705293566521,-11.269226529203703,-11.792402884369602,-11.904969212173105,-12.40507040043352,-11.126649340602103,-11.338970304291381,-12.184947023157493,-13.843537912878771,-11.799484587631657,-13.195744178796918,-12.215691937257835,-14.267588646433518,-13.750737140797499,-13.05913719004604,-14.522874723971649,-14.2879350410026,-13.95710321801302,-13.631820808662212
-11.458417109650158,-11.234821767441366,-11.18412643216543,-11.560507740196321,-12.118954961005628,-12.011342930696323,-12.590394654957954,-11.3054070461906,-11.558302262277321,-12.363965095721253,-14.002347842975102,-12.104968323873106,-13.197829303906719,-12.338642116926916,-14.401947716856489,-13.97612019484948,-13.242230190967488,-14.656401110913217,-14.480808820749838,-14.169505244878067,-13.794128891518412
-11.748873951895943,-11.463716408432024,-11.337430923237337,-11.890959749375082,-12.485632273122064,-12.164807388840602,-12.814796031496469,-11.50013270616581,-11.79660804338853,-12.584393613216212,-14.180065955090889,-12.431688581455525,-13.221853365583216,-12.476773778605098,-14.548654013119164,-14.22453013429909,-13.450701451204463,-14.806578904886596,-14.702372189611442,-14.416213390631684,-13.996374104183397
-12.052427619320223,-11.673773461089088,-11.523432946481927,-12.245433862256808,-12.877303639817058,-12.348964068416006,-13.066662533190254,-11.691051133078703,-12.049532827322848,-12.825645390540519,-14.371351843621705,-12.778430593062748,-13.27677800453885,-12.62302441980062,-14.703847937415237,-14.483272655293133,-13.663651966417158,-14.968487289605319,-14.945565289391388,-14.685834646870836,-14.225171199462736
-12.360434509005085,-11.86381099077961,-11.759634048257642,-12.612707649543534,-13.280167117983833,-12.562808417657408,-13.334301706709883,-11.873267159358285,-12.316287106543715,-13.07355452477521,-14.571007774680174,-13.143339223423546,-13.349487202496453,-12.77468059620151,-14.863740342799181,-14.74616216283882,-13.871119868647838,-15.13795708297819,-15.204325573255854,-14.969629844449154,-14.469181350275052
