0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-11.74138287270818,-11.919862133480242,-9.821515802917311,-10.493305486347326,-12.08424017195595,-12.69788954277735,-12.624141327204557,-10.757670745433677,-10.993053939009917,-11.912946715470998,-12.591352052978925,-11.404469313097817,-13.64100103618214,-12.477305162850882,-11.936940782439613,-13.964222244677266,-14.110429630047793,-inf,-14.481867565090424,-14.731779489600806,-13.616810197893615
-11.74138287270818,-11.480495473696397,-10.235256820329337,-11.255445538394223,-12.08424017195595,-12.27044552795041,-12.400997775890346,-11.309739327733716,-10.695421535704968,-12.187383561172759,-11.898204872418981,-10.836485275491878,-14.488298896569342,-11.688847802486611,-inf,-13.627750008056053,-14.515894738155957,-inf,-13.383255276422314,-14.731779489600806,-13.211345089785452
-10.642770584040068,-11.82142206066699,-10.355813782868445,-11.40959621822148,-11.391092991396004,-12.27044552795041,-12.064525539269134,-10.54060624019585,-10.979808712259898,-12.241450782443033,-inf,-11.293243677987594,-13.284326092243406,-12.477305162850882,-inf,-12.577927883557376,-13.417282449487848,-13.240802197986767,-inf,-13.815488757726651,-12.92366301733367
-9.795472723652866,-11.209620519560996,-10.127682690043196,-10.493305486347326,-10.985627883287838,-12.227885913531614,-11.707850595330402,-11.309739327733716,-10.777942559392972,-12.136090266785208,-12.591352052978925,-10.90547814697883,-12.753697841181236,-12.007301533605146,-12.630087962999559,-13.627750008056053,-13.263131769660589,-inf,-13.383255276422314,-13.479016521105438,-12.92366301733367
-10.131944960274078,-10.969669849930405,-10.433775324338157,-10.310983929553371,-11.573414548189957,-11.668270125596191,-12.218676219096393,-11.118684090971007,-10.788753475497188,-12.566873182877663,-inf,-10.212330966418884,-12.878860984135242,-12.294983606056928,-inf,-12.6832883992152,-13.822747557596012,-inf,-14.481867565090424,-13.815488757726651,-13.211345089785452
-10.355088511588288,-inf,-10.165710085632435,-10.716449037661537,-11.573414548189957,-12.038643913893086,-13.317288507764502,-10.996081768878675,-10.735831074042846,-12.359233818099417,-13.689964341647036,-11.102188441224884,-13.189015912439082,-11.688847802486611,-inf,-13.376435579775146,-12.375828574659687,-inf,-13.383255276422314,-13.345485128480915,-14.30995737845356
-9.54415829537196,-10.49966622068467,-9.830715499815735,-10.428766965209755,-10.697945810836059,-12.147843205858077,-12.624141327204557,-10.32235267417583,-10.777942559392972,-12.187383561172759,-13.689964341647036,-10.97958611913255,-13.102004535449451,-12.477305162850882,-12.630087962999559,-12.865609956009155,-13.822747557596012,-12.547655017426822,-13.095573203970533,-13.633167200932697,-13.616810197893615
-10.355088511588288,-11.415956952558824,-9.82886877722257,-10.310983929553371,-11.796558099504168,-11.514119445768934,-11.612540415526077,-10.958341440895827,-10.966736630692544,-12.087300102615776,-11.744054192591722,-10.90547814697883,-13.795151716009396,-12.007301533605146,-inf,-13.175764884312995,-14.515894738155957,-inf,-13.383255276422314,-12.534554912264586,-12.70051946601946
-11.048235692148234,-11.08246534407575,-10.093449518400954,-11.004131110113317,-inf,-12.004742362217405,-11.612540415526077,-11.309739327733716,-10.715422202411638,-12.298609196282984,-12.591352052978925,-11.146640203795718,-13.102004535449451,-11.601836425496982,-inf,-13.49421861543153,-12.500991717613694,-13.240802197986767,-13.095573203970533,-13.345485128480915,-14.30995737845356
-9.795472723652866,-11.112770693571079,-9.997265594548033,-10.310983929553371,-10.880267367630013,-12.361417306156136,-11.813211110988227,-11.258446033346166,-10.756665160945687,-12.359233818099417,-12.99681716108709,-10.803695452668887,-12.947853855622194,-11.447685745669723,-inf,-13.49421861543153,-13.599604006281803,-13.240802197986767,-12.690108095862369,-13.02703139736238,-14.30995737845356
-9.949623403480123,-10.633197613309193,-10.181335403535515,-10.36814234339332,-12.489705280064113,-11.247056660519888,-12.218676219096393,-10.820191102415011,-10.64710295843416,-12.566873182877663,-12.303669980527145,-10.682334595664619,-13.102004535449451,-11.521793717823446,-inf,-13.49421861543153,-12.264602939549462,-12.547655017426822,-12.872429652656324,-13.815488757726651,-13.211345089785452
-10.642770584040068,-11.82142206066699,-10.147783869364282,-11.004131110113317,-9.493973006510123,-12.314897290521245,-11.813211110988227,-10.78844240410043,-10.833205238068022,-12.934597963002979,-inf,-11.018806832285833,-13.64100103618214,-12.007301533605146,-12.630087962999559,-12.865609956009155,-12.264602939549462,-12.547655017426822,-13.788720384530478,-13.479016521105438,-13.211345089785452
-10.355088511588288,-10.712446984963334,-10.218772930607646,-10.562298357834278,-10.617903103162522,-11.909432182413079,-12.064525539269134,-10.921973796724952,-10.941094200079206,-12.423772339236988,-13.689964341647036,-10.97958611913255,-12.814322462997671,-11.784157982290937,-12.630087962999559,-12.629221177944926,-12.500991717613694,-13.240802197986767,-13.383255276422314,-13.815488757726651,-12.518197909225506
-9.795472723652866,-11.192813401244615,-10.263348555196352,-10.36814234339332,-10.880267367630013,-11.717060289765623,-12.064525539269134,-10.820191102415011,-10.799682546029379,-12.040780086980883,-13.689964341647036,-10.24869861058976,-12.947853855622194,-11.521793717823446,-inf,-12.934602827496107,-12.213309645161912,-13.240802197986767,-13.095573203970533,-13.345485128480915,-14.30995737845356
-9.256476222920178,-10.8445067069764,-10.280590361630857,-11.40959621822148,-11.236942311568745,-11.850591682390146,-11.813211110988227,-11.118684090971007,-10.993053939009917,-12.298609196282984,-12.99681716108709,-11.404469313097817,-13.021961827775915,-12.140832926229669,-inf,-13.964222244677266,-13.011817341379684,-inf,-13.095573203970533,-13.122341577166706,-inf
-9.54415829537196,-11.59827850935278,-10.60668188219751,-11.255445538394223,-10.697945810836059,-12.227885913531614,-11.813211110988227,-11.615120977284898,-11.006476959342057,-12.241450782443033,-12.99681716108709,-11.018806832285833,-13.64100103618214,-12.477305162850882,-11.936940782439613,-14.475047868443257,-13.011817341379684,-12.547655017426822,-12.53595741603511,-13.815488757726651,-13.616810197893615
-10.131944960274078,-10.868317355670118,-10.430402639859517,-10.636406329987999,-11.391092991396004,-11.971952539394414,-12.624141327204557,-10.590616660770511,-11.267490784711677,-11.912946715470998,-13.689964341647036,-11.672733299692496,-13.284326092243406,-11.688847802486611,-inf,-12.865609956009155,-12.644092561254366,-inf,-13.788720384530478,-13.479016521105438,-12.92366301733367
