0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-12.258484507049742,-15.126353718160559,-14.212039931448118,-13.65253639418261,-13.68002364148009,-15.089293427191274,-14.155513152620465,-14.083851088158715,-14.046793514458855,-15.479298172003695,-14.337562912188076,-13.843371059589494,-15.762923387296023,-14.620839499149763,-13.876674164695569,-15.958818675378911,-15.733514542258561,-14.68832308648043,-15.226536783666393,-16.163217321955038,-15.253711511535204
-12.200994800805589,-14.98176281685173,-14.015815030390169,-13.55623060602605,-13.59769414969001,-14.978246599357597,-14.08591971499925,-13.96701023230534,-13.903671682642798,-15.368685230410113,-14.305479752634136,-13.731227215003928,-15.68006693591435,-14.53742337116024,-13.87332936336257,-15.87118623507903,-15.644926859699973,-14.672439170945578,-15.181774861091364,-16.08414095956993,-15.198466632201841
-12.14352343065376,-14.837213318857906,-13.819768615785875,-13.459945585409757,-13.515384067956157,-14.86723769545946,-14.016353353884757,-13.850209076674885,-13.760655994918952,-15.258095855479272,-14.273412116272896,-13.619132203192136,-15.597237263439466,-14.45402598069512,-13.869992766170776,-15.783575682498656,-15.556358162183962,-14.656562078750524,-15.137027278314363,-16.005079773579954,-15.143233682015534
-12.086088735786028,-14.69275041952573,-13.62410184094236,-13.363702921500487,-13.433113290866515,-14.75630792874364,-13.946841471409096,-13.733489372219946,-13.617851855113486,-15.147554910097023,-14.241375158334458,-13.507136385828051,-15.514461825851514,-14.370666554049354,-13.866672175398703,-15.69600957152018,-15.467827893736567,-14.640698372914898,-15.092308203612738,-15.926049269003336,-15.088024566619222
-12.028710051432565,-14.54842181518287,-13.429027061091404,-13.267525386029929,-13.350902799414653,-14.645500791073495,-13.877412961899022,-13.616895162488891,-13.475370382477717,-15.037088623319914,-14.209384852624082,-13.395292878436218,-15.431769578552188,-14.287365367680394,-13.863375812146625,-15.608511689081283,-15.37935656000585,-14.624854969708608,-15.047632572642327,-15.847065796957827,-15.032851837962715
-11.971406712823558,-14.404275202157002,-13.234756631464794,-13.171435750729776,-13.268773574594142,-14.534859774312382,-13.808096719681282,-13.500470491030097,-13.333322696262965,-14.926723224204512,-14.177457172947022,-13.28365479654119,-15.349189476943172,-14.204142698045693,-13.860111897514823,-15.521105822119635,-15.290964666639868,-14.609038785401566,-15.003015321058966,-15.768145708561178,-14.977728047995832
-11.914198077049459,-14.260358344714396,-13.04150317159624,-13.075456817467336,-13.186746623621,-14.424428414988691,-13.738921672783883,-13.384259456578906,-13.191820037589853,-14.8164849784464,-14.145608109465101,-13.172275318834112,-15.26675050997505,-14.121018846999702,-13.856888660152066,-15.433815787938443,-15.202672741921473,-14.593256742922597,-14.958471400587777,-15.689305375105207,-14.922665762745549
-11.857111683288657,-14.116744435984067,-12.84957822730785,-12.979622667589535,-13.10485276851833,-14.314266967361382,-13.669929363309755,-13.268326813896076,-13.051019262334925,-14.706413865394936,-14.113859774418081,-13.061231266751072,-15.18449422363656,-14.03802362224533,-13.853717153988296,-15.346676769365919,-15.114509786097734,-14.57751825751652,-14.914021777499734,-15.610568718812722,-14.867682817151154
-11.800195485722782,-13.973570116263879,-12.659540173899693,-12.883995525701458,-13.02314732008525,-14.204477397844837,-13.601192806548436,-13.15278885627734,-12.911191039058696,-14.596584081128544,-14.082249555149398,-12.950658452381612,-15.10249349479147,-13.955210549383452,-13.850615482269617,-15.259752307178996,-15.026525937684893,-14.561838962967975,-14.86970242486778,-15.53197850211972,-14.812810192534965
-11.743500569864704,-13.830981757620687,-12.471985246318805,-12.788641933128682,-12.941689345302958,-14.095168070823167,-13.532789845267079,-13.037769782195717,-12.772623493345435,-14.487075070018284,-14.050817181956338,-12.84070173602691,-15.020826005952891,-13.872636791956829,-13.847602829493333,-15.173110291805164,-14.938774577467777,-14.546235446885149,-14.825551617565608,-15.453580377246197,-14.758080886661894
-11.687078021227059,-13.689125732121019,-12.287509679511894,-12.6936284311965,-12.86053791115237,-13.986447350680166,-13.46479832223255,-12.923393790123932,-12.635604750779112,-14.37796627643491,-14.019602385135936,-12.731505977987855,-14.939569439633633,-13.790359513507923,-13.844698380156494,-15.086818613671612,-14.851309086230907,-14.530724296875977,-14.781607630466617,-15.37541999641183,-14.703527897296555
-11.63097892543725,-13.54814841219901,-12.106709708454277,-12.599021561425808,-12.779752084771488,-13.878423601991711,-13.397296080348836,-12.80978507888739,-12.500422937551978,-14.26933714498687,-13.988644895062954,-12.623216038930943,-14.858801478484919,-13.70843587772675,-13.841921318788053,-15.000945163388305,-14.764182844877725,-14.515322100578432,-14.737908738527418,-15.297543011953453,-14.649184222280185
